name,gender,age,city,platform_primary,platform_secondary,sector,tenure_platform_1_months,tenure_platform_2_months,working_hours_per_day,rating,avg_monthly_earnings,total_earnings,std_dev_earnings,recurring_expenses,cash_inflow_to_outflow_ratio,savings,net_savings_ratio,emergency_fund_months_covered,dependent_count,credit_card_user,credit_score,credit_history_length_months,education,loan_amount_requested,loan_term_months,interest_rate,purpose_of_loan,location_stability,earnings_trend_slope_6mo,num_loan_rejections_6mo,assets_inr,repayment_status
Ekiya Agrawal,Female,44,Nagaon,QuickFix,HandyManGo,other,15,9,7,4.250589256019087,24894,298728,4759.96,16617,1.2,25000,0.08,3.4,0,False,,0,10th,104715,36,19.16,business,semi-stable,-0.02,0,"{""vehicle"": 259279}",1.0
Anthony Kar,Male,46,Patiala,HouseHelpIndia,,domestic,26,0,7,4.250589256019087,33360,400320,9309.29,17062,1.1,0,0.0,2.5,1,False,,0,12th,32164,24,23.74,medical,unstable,0.09,0,"{""land"": 679831}",0.0
Rachit Gupta,Male,39,Aligarh,Ola,Uber,cab,22,17,13,3.8,22160,265920,7782.82,12917,1.21,10000,0.04,2.8,1,False,,0,graduate,144327,12,23.35,debt_consolidation,semi-stable,0.02,0,"{""vehicle"": 225660, ""home"": 576953}",0.0
Timothy Bora,Male,24,Surendranagar Dudhrej,Instamart,Zepto,food_delivery,32,29,10,4.8,27025,324300,6472.56,14340,0.88,0,0.0,1.6,0,False,,0,graduate,101036,36,11.19,vehicle,stable,0.08,0,"{""vehicle"": 75244, ""home"": 476730}",1.0
Warjas Batra,Male,28,Meerut,Zomato,,food_delivery,24,0,11,3.8,28835,346020,3424.72,18254,0.81,10000,0.03,0.3,1,False,,0,10th,57893,36,16.78,education,semi-stable,0.02,0,"{""home"": 885401, ""land"": 513625}",1.0
Mitali Dubey,Female,26,Karawal Nagar,UrbanClap,Yes Madam,beauty,22,25,8,4.8,28150,337800,11170.91,15393,1.03,0,0.0,3.0,0,False,,0,12th,16587,36,15.06,vehicle,stable,-0.19,0,{},0.0
Hemal Kashyap,Female,21,Cuttack,HandyManGo,QuickFix,other,5,10,11,4.250589256019087,38819,465828,5806.96,20262,1.42,0,0.0,3.6,0,False,,0,12th,149335,24,15.2,business,unstable,0.12,0,"{""vehicle"": 297130, ""home"": 603175}",1.0
Gagan Desai,Male,21,Raiganj,Ola,Rapido,cab,29,29,11,3.9,28085,337020,5285.17,12983,1.26,0,0.0,1.0,2,False,,0,12th,81128,36,19.83,vehicle,stable,-0.17,1,"{""vehicle"": 227030}",0.0
Onveer Khatri,Male,32,Bangalore,HandyManGo,QuickFix,other,11,10,9,4.250589256019087,21740,260880,7737.15,13888,1.34,25000,0.1,3.0,0,False,,0,10th,29692,12,11.56,education,stable,0.14,0,"{""home"": 1112871}",1.0
Banjeet Rajagopal,Male,25,Indore,HouseHelpIndia,KaamWaliBai,domestic,41,46,7,4.250589256019087,20080,240960,2257.99,11968,1.06,0,0.0,0.8,3,False,,0,12th,88116,24,22.39,vehicle,stable,0.05,0,"{""vehicle"": 248620, ""home"": 470706}",0.0
Kai Chada,Male,50,Chennai,QuickFix,HandyManGo,other,5,8,9,4.250589256019087,17958,215496,6715.75,7507,0.71,0,0.0,3.6,2,False,,0,10th,41954,12,22.66,education,stable,-0.13,0,{},0.0
Nachiket Dalal,Male,42,Amroha,UrbanClap,Yes Madam,beauty,40,43,6,4.3,16149,193788,5175.4,9347,1.4,0,0.0,1.7,1,True,676.0,39,10th,134997,36,22.63,wedding,stable,0.19,0,"{""vehicle"": 52702}",0.0
Ryan Balay,Male,46,Srinagar,Uber,Ola,cab,56,61,12,3.9,17384,208608,4700.5,8308,0.9,25000,0.12,3.9,0,False,,0,10th,142659,12,10.38,business,stable,0.01,0,"{""vehicle"": 255888}",1.0
Lakshit Chandran,Male,43,Bijapur,Rapido,,cab,29,0,10,4.7,20851,250212,7141.92,10065,0.9,10000,0.04,0.8,3,True,496.0,3,graduate,132672,24,15.89,vehicle,stable,0.12,0,"{""home"": 801200, ""land"": 651516}",0.0
Gagan Bahl,Male,34,Chennai,Instamart,Zepto,food_delivery,34,31,11,3.7,37284,447408,6584.39,22473,1.4,0,0.0,2.6,1,True,538.0,23,10th,67530,24,10.41,wedding,stable,-0.15,2,"{""vehicle"": 128262, ""land"": 518151}",1.0
Umang Nair,Male,33,Bulandshahr,Swiggy,Instamart,food_delivery,58,61,9,3.5,15670,188040,4660.52,6774,1.41,0,0.0,3.1,3,False,,0,12th,60599,12,17.66,debt_consolidation,stable,-0.21,0,{},0.0
Zilmil Rana,Female,23,Satara,UrbanClap,Yes Madam,beauty,25,19,7,4.4,19681,236172,2120.25,9670,1.15,0,0.0,0.8,2,True,424.0,41,10th,123710,36,16.96,business,stable,0.14,0,"{""vehicle"": 75061, ""home"": 1094062}",0.0
Bakhshi Kulkarni,Male,28,Mirzapur,UrbanPro,Vedantu,tutoring,28,27,7,4.250589256019087,79154,949848,8595.79,39111,1.42,10000,0.01,1.0,2,False,,0,10th,146949,36,17.62,education,stable,-0.14,0,"{""vehicle"": 62643}",1.0
Neelima Bal,Female,22,Dindigul,Instamart,Swiggy,food_delivery,9,6,11,4.0,19302,231624,3550.1,10281,1.29,0,0.0,1.3,3,False,,0,12th,22748,12,18.01,education,stable,-0.1,0,"{""vehicle"": 256839}",0.0
Raghav Rastogi,Male,46,Machilipatnam,Swiggy,Zomato,food_delivery,6,1,11,4.5,13265,159180,4613.82,5928,0.79,0,0.0,3.0,1,False,,0,12th,70380,12,23.86,vehicle,stable,-0.05,0,"{""vehicle"": 240418}",0.0
Mugdha Tak,Female,27,Meerut,UrbanClap,,beauty,49,0,9,4.4,11639,139668,1511.49,4796,1.47,10000,0.07,3.6,0,False,,0,10th,98774,36,13.54,vehicle,stable,-0.05,0,"{""vehicle"": 272394}",0.0
Hitesh Rai,Male,33,Bhatpara,Ola,Uber,cab,14,15,10,4.4,24556,294672,3807.06,10028,1.21,0,0.0,2.5,2,False,,0,graduate,128843,36,20.88,wedding,stable,-0.04,0,"{""vehicle"": 91475, ""home"": 735304}",0.0
Harrison Munshi,Male,29,Jhansi,Ola,Rapido,cab,5,5,13,4.9,25890,310680,7867.71,12468,1.37,0,0.0,0.9,1,False,,0,12th,81117,24,16.19,business,unstable,0.02,0,"{""vehicle"": 253358}",1.0
Samaksh Brahmbhatt,Male,31,Dibrugarh,Ola,Rapido,cab,42,46,10,4.3,22482,269784,2335.19,15055,0.81,10000,0.04,2.2,1,False,,0,10th,44753,36,18.5,medical,stable,-0.01,0,"{""vehicle"": 272829}",1.0
Falan Raghavan,Male,19,Chittoor,Zomato,Swiggy,food_delivery,56,52,10,4.8,38856,466272,12668.67,22760,1.17,10000,0.02,0.7,0,True,385.0,27,10th,85986,24,13.16,vehicle,stable,0.07,0,{},1.0
Quincy Balasubramanian,Male,36,Kozhikode,Zepto,Zomato,food_delivery,41,38,8,3.6,23563,282756,8673.32,14386,0.97,0,0.0,2.2,2,False,,0,graduate,128580,12,14.42,debt_consolidation,semi-stable,-0.1,0,"{""vehicle"": 153069}",0.0
Gaurang Minhas,Male,43,Thoothukudi,UrbanPro,Vedantu,tutoring,58,60,7,4.250589256019087,8480,101760,1140.93,4377,0.84,0,0.0,2.6,0,False,,0,12th,21350,36,15.81,business,stable,-0.07,0,"{""vehicle"": 77802}",0.0
Harshil Merchant,Male,43,Mahbubnagar,Ola,Rapido,cab,34,36,11,4.5,25615,307380,6634.06,12523,0.86,0,0.0,0.6,1,True,486.0,11,10th,96436,24,11.13,vehicle,stable,0.1,0,"{""home"": 1429056, ""land"": 887620}",1.0
Zehaan Shenoy,Male,23,Firozabad,Zomato,Swiggy,food_delivery,32,36,12,4.7,52080,624960,7538.18,34485,1.42,0,0.0,0.1,0,False,,0,12th,121361,12,19.02,wedding,stable,-0.13,0,"{""vehicle"": 255121}",1.0
Osha Deol,Female,39,Gulbarga,UrbanClap,Yes Madam,beauty,11,14,8,4.4,25414,304968,4222.44,10620,1.29,0,0.0,2.4,0,False,,0,12th,126041,24,17.6,debt_consolidation,stable,0.06,0,"{""vehicle"": 146275}",0.0
Abdul Master,Male,38,Farrukhabad,Ola,,cab,36,0,14,4.7,20026,240312,7515.01,11262,1.24,0,0.0,2.6,2,True,790.0,24,12th,128128,12,11.08,medical,semi-stable,0.11,0,"{""vehicle"": 188682, ""home"": 305024}",1.0
Frado Mittal,Male,26,Nandyal,Swiggy,,food_delivery,22,0,11,3.8,29232,350784,7223.89,18687,1.38,0,0.0,2.7,1,False,,0,12th,52814,12,20.94,vehicle,stable,0.01,0,{},1.0
Kabir Dey,Male,36,Chandrapur,Zomato,Zepto,food_delivery,39,42,11,3.8,30959,371508,3727.22,18442,1.28,10000,0.03,1.8,3,False,,0,12th,51979,36,23.95,wedding,stable,-0.17,0,"{""vehicle"": 138594}",1.0
Nicholas Bandi,Male,30,Uluberia,Zepto,Instamart,food_delivery,52,49,12,4.0,13824,165888,1486.91,6901,1.18,10000,0.06,3.0,0,False,,0,10th,12159,12,11.83,wedding,stable,0.03,0,"{""vehicle"": 51616}",1.0
Urishilla Bora,Female,50,Farrukhabad,Zepto,Instamart,food_delivery,45,40,8,3.5,22119,265428,3514.45,12809,1.33,10000,0.04,3.2,0,False,,0,graduate,81154,24,13.58,education,stable,-0.11,0,"{""vehicle"": 66844, ""land"": 750764}",0.0
Parth Mitter,Male,35,Ramagundam,Ola,Rapido,cab,37,39,13,3.5,35695,428340,13557.88,19188,0.74,10000,0.02,2.3,0,False,,0,12th,115219,24,23.96,debt_consolidation,semi-stable,0.12,0,"{""home"": 564781, ""land"": 873200}",1.0
Tanvi Malhotra,Female,24,Aligarh,Yes Madam,UrbanClap,beauty,52,49,8,4.5,31073,372876,10246.56,13648,0.95,0,0.0,2.7,0,False,,0,12th,142201,36,20.17,vehicle,stable,-0.12,0,"{""vehicle"": 280378}",0.0
Azad Agarwal,Male,31,Hyderabad,Rapido,Ola,cab,47,47,13,4.8,22663,271956,7765.43,14264,0.95,10000,0.04,0.6,1,False,,0,graduate,65192,24,10.75,education,stable,-0.05,0,"{""home"": 1442864}",1.0
Amara Khare,Female,49,Suryapet,HouseHelpIndia,KaamWaliBai,domestic,56,57,7,4.250589256019087,29723,356676,10757.14,20445,0.95,10000,0.03,0.9,1,True,386.0,47,10th,80474,12,19.47,vehicle,stable,0.15,0,"{""home"": 1306624}",1.0
Kalpit Lall,Male,34,Nangloi Jat,Zomato,Swiggy,food_delivery,43,38,9,4.9,33521,402252,5854.02,17362,1.07,10000,0.02,0.6,0,True,540.0,54,10th,51505,24,15.17,medical,stable,0.15,0,"{""vehicle"": 84592}",1.0
Tanay Dhar,Male,38,Pallavaram,Instamart,Zepto,food_delivery,6,4,12,3.6,38625,463500,7070.73,24098,1.14,10000,0.02,1.2,2,False,,0,10th,57922,12,10.77,debt_consolidation,stable,-0.18,0,{},1.0
Anmol Singh,Male,18,Danapur,Ola,Rapido,cab,18,13,13,5.0,36644,439728,4055.65,16745,1.39,0,0.0,0.2,1,False,,0,graduate,81792,36,16.22,debt_consolidation,semi-stable,0.08,0,{},1.0
Harini Ahuja,Female,46,Maheshtala,HouseHelpIndia,KaamWaliBai,domestic,40,41,8,4.250589256019087,77155,925860,26869.78,36444,1.42,0,0.0,0.9,1,True,382.0,33,12th,112072,36,14.08,business,semi-stable,-0.21,0,"{""vehicle"": 227224}",1.0
Kamala Bumb,Female,39,Alwar,HouseHelpIndia,KaamWaliBai,domestic,53,47,8,4.250589256019087,28880,346560,3562.55,19000,1.48,0,0.0,0.7,0,False,,0,10th,12895,24,11.62,education,semi-stable,-0.05,0,"{""vehicle"": 269603}",1.0
Alexander Sarna,Male,34,Panvel,Zepto,Zomato,food_delivery,35,35,11,3.8,31028,372336,10485.56,14365,1.36,25000,0.07,1.0,2,False,,0,graduate,59699,36,12.51,medical,stable,0.24,0,"{""vehicle"": 241992}",1.0
Vivaan Sidhu,Male,24,Bhind,HandyManGo,QuickFix,other,36,33,10,4.250589256019087,33288,399456,4811.85,15730,1.08,0,0.0,1.7,2,False,,0,12th,24130,12,19.0,business,stable,-0.14,0,"{""vehicle"": 77465}",0.0
Ekapad Misra,Male,41,Kota,Uber,Rapido,cab,6,0,10,4.7,23789,285468,4131.32,13586,0.94,0,0.0,2.3,2,False,,0,10th,88518,24,13.95,debt_consolidation,semi-stable,-0.13,1,"{""vehicle"": 50959}",0.0
Jagat Mistry,Male,30,Khammam,Uber,,cab,5,0,13,4.7,40626,487512,11670.72,27336,1.45,0,0.0,2.3,1,False,,0,graduate,67986,36,16.07,vehicle,semi-stable,-0.01,0,{},1.0
Jatin Mangal,Male,25,Kamarhati,UrbanClap,Yes Madam,beauty,28,30,9,3.9,20447,245364,3296.45,9504,1.24,0,0.0,3.9,1,False,,0,none,21549,24,14.2,wedding,stable,0.01,0,"{""vehicle"": 55521}",0.0
David Luthra,Male,19,Aurangabad,Rapido,Uber,cab,14,11,12,3.7,34996,419952,12921.19,20269,0.85,10000,0.02,1.6,2,False,,0,graduate,110435,36,22.18,debt_consolidation,semi-stable,-0.13,0,"{""vehicle"": 226651}",0.0
Abha Taneja,Female,41,Kochi,KaamWaliBai,HouseHelpIndia,domestic,19,15,9,4.250589256019087,9986,119832,3173.8,5590,1.28,0,0.0,2.3,0,False,,0,10th,38885,24,22.58,debt_consolidation,stable,-0.05,0,"{""vehicle"": 112204}",0.0
Hemal Nayar,Female,38,Mahbubnagar,HouseHelpIndia,KaamWaliBai,domestic,22,23,7,4.250589256019087,31027,372324,3751.66,15090,1.29,0,0.0,2.9,0,False,,0,graduate,87909,36,14.71,business,stable,0.06,0,"{""vehicle"": 293115}",0.0
Aayush Master,Male,49,Bareilly,Vedantu,UrbanPro,tutoring,27,31,6,4.250589256019087,19960,239520,7871.32,10393,0.73,10000,0.04,1.7,0,False,,0,graduate,149718,12,16.13,vehicle,stable,0.22,0,"{""vehicle"": 128883, ""home"": 740157, ""land"": 789936}",0.0
Urishilla Pingle,Female,50,Kharagpur,KaamWaliBai,HouseHelpIndia,domestic,56,50,9,4.250589256019087,13610,163320,2183.58,7155,0.78,0,0.0,0.5,0,True,411.0,43,12th,97453,36,10.89,debt_consolidation,stable,0.04,2,"{""vehicle"": 200803, ""home"": 1119737}",0.0
Aarav Prashad,Male,26,Thanjavur,Zomato,Swiggy,food_delivery,42,47,12,4.9,17392,208704,2792.09,8527,0.9,10000,0.05,0.7,3,False,,0,12th,98074,12,19.74,debt_consolidation,stable,0.03,0,"{""home"": 1442514}",1.0
Urishilla Andra,Female,48,Munger,Ola,Rapido,cab,7,2,10,4.7,25638,307656,5547.85,16035,1.44,25000,0.08,3.8,0,False,,0,10th,52025,12,16.0,medical,stable,-0.09,2,"{""vehicle"": 108897}",1.0
Faras Sachdeva,Male,20,Kolkata,Instamart,Zepto,food_delivery,43,38,9,4.1,11325,135900,3701.66,5306,0.71,10000,0.07,0.2,1,False,,0,12th,67104,36,15.6,education,stable,0.11,0,"{""vehicle"": 196324, ""home"": 1420773, ""land"": 817654}",0.0
Ekantika Borra,Female,41,Panchkula,Yes Madam,UrbanClap,beauty,24,19,8,4.5,12848,154176,5010.87,6991,1.48,10000,0.06,0.3,1,False,,0,12th,22126,24,22.24,business,stable,-0.26,0,"{""vehicle"": 167351}",0.0
Sara Sahota,Female,24,Bangalore,Rapido,Ola,cab,7,10,14,3.8,69423,833076,17048.15,42549,0.72,0,0.0,3.9,0,True,691.0,39,10th,120310,24,18.9,debt_consolidation,stable,-0.04,0,"{""vehicle"": 245875, ""home"": 1214267}",1.0
Naksh Char,Male,27,Narasaraopet,Swiggy,Zepto,food_delivery,59,55,8,4.0,32782,393384,7922.58,22936,0.77,0,0.0,0.2,0,False,,0,10th,101288,24,16.15,debt_consolidation,stable,0.01,0,{},1.0
Yatan Kadakia,Male,19,Bihar Sharif,Instamart,Zepto,food_delivery,38,39,10,4.3,29466,353592,7704.36,20427,1.19,0,0.0,3.4,1,False,,0,12th,126680,24,13.8,debt_consolidation,unstable,0.13,0,"{""vehicle"": 136739}",0.0
Chaman Sane,Female,39,Rourkela,KaamWaliBai,HouseHelpIndia,domestic,41,46,7,4.250589256019087,18461,221532,2872.95,12063,0.81,0,0.0,0.3,1,False,,0,12th,106176,24,17.97,business,stable,0.08,0,"{""vehicle"": 229541, ""home"": 1019516}",0.0
Liam Badal,Male,45,Begusarai,Swiggy,Instamart,food_delivery,33,38,11,4.6,28968,347616,4104.5,17767,1.25,25000,0.07,0.0,3,False,,0,12th,41169,24,16.23,wedding,stable,0.08,0,"{""home"": 1015371}",1.0
Ijaya Saxena,Female,31,Bidar,HouseHelpIndia,KaamWaliBai,domestic,19,19,9,4.250589256019087,18948,227376,4643.49,12568,1.01,0,0.0,0.4,0,False,,0,10th,67042,24,15.76,medical,stable,0.04,2,{},0.0
Veer Dhaliwal,Male,30,Salem,QuickFix,HandyManGo,other,15,12,8,4.250589256019087,17857,214284,7105.0,8086,1.49,0,0.0,3.5,2,False,,0,10th,133714,24,14.11,wedding,stable,0.07,0,"{""home"": 1202157}",0.0
Vincent Hayre,Male,22,Malda,Zomato,Swiggy,food_delivery,36,31,9,4.5,10531,126372,1446.79,5963,1.05,0,0.0,1.2,2,False,,0,10th,64362,24,18.7,vehicle,stable,-0.05,0,"{""vehicle"": 241194, ""home"": 1268128}",0.0
Wahab Chand,Male,35,Bathinda,Rapido,Ola,cab,55,55,12,4.5,24939,299268,3292.29,14660,1.19,10000,0.03,0.3,1,True,710.0,30,10th,75030,12,11.9,education,unstable,0.05,0,"{""land"": 493082}",1.0
Megha Nori,Female,46,Pallavaram,Vedantu,UrbanPro,tutoring,49,44,6,4.250589256019087,11084,133008,1413.58,6144,1.17,10000,0.08,2.2,0,False,,0,graduate,115514,36,16.15,education,stable,-0.11,0,{},0.0
Gunbir Bahl,Male,38,Patiala,Rapido,Uber,cab,17,21,10,4.0,33998,407976,6134.7,13721,0.9,0,0.0,0.6,1,False,,0,none,149471,12,16.43,vehicle,semi-stable,0.13,0,{},0.0
Tejas Dave,Male,26,Jamnagar,Rapido,Ola,cab,31,30,11,4.1,34431,413172,13233.17,19689,1.16,0,0.0,3.3,2,False,,0,10th,113002,24,13.84,debt_consolidation,stable,0.08,0,"{""vehicle"": 81527, ""home"": 1111434}",1.0
Kiaan Mital,Male,42,Hindupur,Ola,Rapido,cab,24,22,12,4.7,34302,411624,10225.99,23500,0.89,0,0.0,1.2,2,True,550.0,0,none,88572,36,18.12,education,stable,0.09,0,{},1.0
Oni Dhillon,Female,32,Parbhani,Yes Madam,UrbanClap,beauty,41,43,8,3.9,20938,251256,8275.26,11922,1.47,0,0.0,1.0,3,False,,0,10th,21801,36,12.75,vehicle,stable,-0.19,0,{},0.0
Ronith Gupta,Male,42,Guna,Zepto,Swiggy,food_delivery,6,3,8,4.3,22788,273456,8021.5,10243,1.41,0,0.0,0.5,0,False,,0,10th,34363,36,18.8,debt_consolidation,stable,0.12,2,"{""vehicle"": 222944}",1.0
Fariq Deshmukh,Male,37,Rajpur Sonarpur,Ola,Rapido,cab,37,35,10,4.2,27036,324432,6192.4,18408,0.83,10000,0.03,3.8,0,True,600.0,41,10th,134336,24,13.54,medical,stable,-0.13,0,"{""vehicle"": 206688, ""home"": 1287604}",0.0
Hardik Kale,Male,35,Naihati,QuickFix,HandyManGo,other,10,15,11,4.250589256019087,23776,285312,4066.63,14005,0.77,10000,0.04,4.0,0,False,,0,10th,31058,12,11.4,education,stable,-0.07,0,"{""vehicle"": 178640}",1.0
Lipika Chana,Female,19,Sirsa,UrbanClap,Yes Madam,beauty,8,7,7,4.3,17701,212412,5767.95,12371,0.9,0,0.0,1.9,2,False,,0,12th,27194,12,15.46,vehicle,semi-stable,-0.03,0,"{""vehicle"": 162419, ""land"": 659782}",0.0
Janya Sankaran,Female,37,Moradabad,HouseHelpIndia,KaamWaliBai,domestic,44,44,9,4.250589256019087,25446,305352,6499.03,11289,1.03,10000,0.03,3.5,1,False,,0,none,136598,12,18.24,vehicle,semi-stable,-0.03,0,{},0.0
Neel Parmar,Male,50,Kirari Suleman Nagar,Swiggy,Instamart,food_delivery,29,31,8,4.6,15237,182844,3585.86,6974,0.8,0,0.0,1.9,1,False,,0,graduate,90021,24,16.48,wedding,stable,-0.08,0,"{""vehicle"": 244496, ""home"": 497479}",0.0
Hredhaan Ramakrishnan,Male,20,Tadepalligudem,Ola,Rapido,cab,32,29,12,3.9,23018,276216,6776.71,13857,0.87,10000,0.04,2.5,2,False,,0,10th,60468,36,13.48,business,stable,-0.08,0,"{""vehicle"": 54912}",0.0
Shivansh Palan,Male,40,Thoothukudi,QuickFix,HandyManGo,other,23,25,11,4.250589256019087,27491,329892,7893.3,17959,1.33,0,0.0,0.6,3,False,,0,10th,54460,36,19.41,vehicle,semi-stable,-0.09,0,{},1.0
Manan Dubey,Male,19,Gorakhpur,Instamart,Swiggy,food_delivery,7,4,12,4.7,25301,303612,7584.84,13609,1.39,0,0.0,2.0,2,True,797.0,18,10th,62127,12,12.94,medical,stable,-0.03,0,"{""vehicle"": 290584, ""land"": 664149}",1.0
Gauri Boase,Female,48,Jabalpur,Yes Madam,UrbanClap,beauty,26,31,9,3.6,72104,865248,9357.03,44416,1.01,0,0.0,0.4,2,False,,0,10th,104192,24,18.95,medical,semi-stable,-0.05,0,"{""vehicle"": 79245}",1.0
Anmol Chadha,Male,38,Guntur,QuickFix,HandyManGo,other,25,19,10,4.250589256019087,33628,403536,8123.54,17522,0.89,10000,0.02,1.3,1,False,,0,12th,104533,12,21.12,vehicle,stable,-0.03,1,"{""vehicle"": 92214}",0.0
Mohammed Ramesh,Male,29,Nanded,Uber,Ola,cab,30,28,14,3.8,9405,112860,3083.49,4944,1.4,0,0.0,3.1,2,False,,0,12th,109525,36,22.84,debt_consolidation,stable,0.13,0,"{""home"": 514223}",0.0
Chatresh Bandi,Male,44,Dibrugarh,Zomato,Zepto,food_delivery,32,30,9,4.3,8000,96000,2548.73,4120,1.13,0,0.0,3.3,1,False,,0,12th,88422,36,11.61,education,semi-stable,-0.04,0,"{""vehicle"": 75583}",0.0
Anthony Karpe,Male,25,Deoghar,HandyManGo,,other,37,0,11,4.250589256019087,36228,434736,10416.55,21802,1.09,0,0.0,0.7,3,False,,0,12th,10294,24,12.84,education,stable,0.05,0,"{""vehicle"": 101179}",1.0
Praneel Mane,Male,34,Fatehpur,Vedantu,UrbanPro,tutoring,16,21,7,4.250589256019087,25499,305988,3392.46,10320,1.44,0,0.0,1.4,1,True,582.0,11,10th,142385,36,24.0,education,stable,0.18,0,"{""vehicle"": 225820}",0.0
Tanish Thakkar,Male,41,Vijayanagaram,Swiggy,Zomato,food_delivery,49,52,12,4.0,15245,182940,2226.13,9750,1.43,0,0.0,2.8,1,True,489.0,41,10th,145653,24,23.8,wedding,stable,-0.13,2,"{""vehicle"": 138538}",0.0
Theodore Narula,Male,36,Dhule,UrbanClap,Yes Madam,beauty,42,45,6,4.0,21411,256932,3258.61,12096,1.07,0,0.0,2.5,1,False,,0,graduate,47792,36,22.36,business,stable,0.02,1,"{""vehicle"": 265889}",0.0
Hardik Mane,Male,19,Nanded,Zepto,Swiggy,food_delivery,29,23,9,4.3,33190,398280,11552.12,15342,1.49,10000,0.03,2.3,3,False,,0,12th,34161,36,14.24,education,semi-stable,-0.04,0,"{""vehicle"": 218013}",1.0
Krishna Tank,Male,44,Karaikudi,Rapido,Uber,cab,51,49,11,3.9,28317,339804,5120.62,12044,1.25,0,0.0,2.7,1,False,,0,10th,19491,24,15.03,vehicle,stable,-0.04,2,"{""vehicle"": 116814, ""land"": 213135}",1.0
Triveni Sundaram,Female,47,Solapur,HouseHelpIndia,KaamWaliBai,domestic,58,52,9,4.250589256019087,28925,347100,6486.13,20242,0.87,0,0.0,0.7,3,True,354.0,24,graduate,37197,12,23.56,medical,stable,0.05,0,"{""vehicle"": 167451}",1.0
Chandani Jaggi,Female,29,South Dumdum,HouseHelpIndia,KaamWaliBai,domestic,45,44,9,4.250589256019087,14903,178836,5817.53,8331,1.04,10000,0.06,0.1,0,False,,0,12th,116917,24,17.12,debt_consolidation,semi-stable,0.13,0,"{""vehicle"": 160737}",0.0
Yashvi Bali,Female,46,Kirari Suleman Nagar,KaamWaliBai,HouseHelpIndia,domestic,57,51,8,4.250589256019087,33334,400008,5385.64,16444,1.05,0,0.0,3.5,0,False,,0,graduate,47381,36,23.84,wedding,stable,-0.08,0,{},0.0
Nirja Handa,Female,29,Jehanabad,Swiggy,Zomato,food_delivery,10,14,11,3.9,25806,309672,6680.14,11857,1.04,10000,0.03,0.6,2,False,,0,12th,90032,24,10.89,wedding,unstable,0.06,0,"{""land"": 412559}",0.0
Umang Bhavsar,Male,34,Durgapur,HandyManGo,QuickFix,other,34,37,9,4.250589256019087,14505,174060,4611.01,9268,0.86,0,0.0,2.2,1,False,,0,graduate,112951,24,18.29,debt_consolidation,stable,-0.08,0,{},0.0
Aarav Bhatti,Male,18,Hajipur,Zepto,Instamart,food_delivery,26,30,12,3.6,31534,378408,5056.56,18842,1.38,0,0.0,1.1,0,False,,0,10th,48889,12,22.92,wedding,stable,0.13,0,"{""vehicle"": 234304}",1.0
Matthew Kota,Male,34,Durgapur,UrbanClap,Yes Madam,beauty,28,28,8,4.9,30696,368352,11372.54,20271,1.48,25000,0.07,2.0,1,True,493.0,5,12th,110025,12,23.59,debt_consolidation,stable,0.11,0,"{""vehicle"": 133526}",1.0
Vedika Puri,Female,31,Sagar,Yes Madam,UrbanClap,beauty,8,5,9,3.8,38523,462276,11670.22,22991,0.75,0,0.0,1.4,3,False,,0,12th,102320,12,11.1,debt_consolidation,semi-stable,0.15,0,{},0.0
Mugdha Rana,Female,27,Dibrugarh,KaamWaliBai,,domestic,53,0,7,4.250589256019087,19087,229044,5889.03,11924,1.08,10000,0.04,1.1,0,True,455.0,9,graduate,29239,12,17.47,wedding,stable,-0.13,0,"{""vehicle"": 284142}",0.0
Faqid Som,Male,32,Hosur,Instamart,,food_delivery,40,0,12,3.9,20943,251316,8205.61,11870,1.31,10000,0.04,2.8,0,False,,0,10th,70561,12,23.27,debt_consolidation,stable,-0.0,1,"{""vehicle"": 152649}",1.0
Vasudha Varughese,Female,24,Belgaum,UrbanClap,Yes Madam,beauty,3,-1,6,4.4,18458,221496,3485.85,11517,0.9,0,0.0,3.6,1,False,,0,10th,95395,24,12.13,business,semi-stable,-0.11,0,"{""vehicle"": 264686}",0.0
Udarsh Sharaf,Male,46,Berhampur,Instamart,Zepto,food_delivery,49,52,9,3.8,28001,336012,9437.44,15920,0.88,10000,0.03,3.0,0,False,,0,10th,98697,12,15.35,business,stable,0.11,0,"{""vehicle"": 111135, ""home"": 707084}",0.0
Vedant Deshmukh,Male,26,Dharmavaram,Uber,Ola,cab,22,27,14,4.7,58572,702864,22753.06,39831,1.33,0,0.0,1.4,0,True,431.0,34,graduate,110300,36,10.05,vehicle,semi-stable,0.04,1,"{""vehicle"": 298641, ""land"": 993548}",1.0
Tarak Dhillon,Male,24,Noida,Rapido,Ola,cab,53,58,13,3.9,11024,132288,2051.06,5353,1.21,0,0.0,3.2,0,False,,0,none,70148,24,22.34,wedding,semi-stable,-0.03,0,{},1.0
Luke Khalsa,Male,38,Gangtok,Zepto,Swiggy,food_delivery,7,1,11,3.7,9014,108168,1239.31,6305,1.29,0,0.0,0.8,1,True,653.0,9,10th,46490,36,18.79,debt_consolidation,semi-stable,0.14,0,"{""vehicle"": 94914, ""home"": 365414}",0.0
Agastya Banik,Male,42,Bidhannagar,Zomato,Swiggy,food_delivery,34,37,9,3.6,25106,301272,4273.81,17289,1.2,0,0.0,1.2,0,False,,0,10th,66235,24,22.86,debt_consolidation,stable,-0.13,0,"{""vehicle"": 106689}",0.0
